Country Name,Country Code,Series,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Belize,BLZ,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.96648,0.956,0.95336,0.95398,0.95204,0.95157,0.9492,0.96679,..
Belize,BLZ,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,115,436,293,190,240,148,302,221,..
Benin,BEN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.56202,3.32751,3.16179,3.17298,2.8991,3.53559,2.93397,..,..
Benin,BEN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,120.94827,122.963,124.42811,127.615,126.53536,122.3356,117.95891,112.39728,..
Benin,BEN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.90724,0.91521,0.92427,0.93024,0.93627,0.93503,0.93733,0.92968,..
Benin,BEN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,67812,..,59910,..,..,52739,50858,120970,..
Bermuda,BMU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,1.78285,1.6986,..,1.50039,..,..,..
Bermuda,BMU,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,95.58685,95.41109,96.54165,100.19871,..,..,..,..,..
Bermuda,BMU,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.96771,0.97206,0.96997,0.98176,..,..,..,..,..
Bermuda,BMU,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,315,..,..,..,..,..,..,..,..
Bhutan,BTN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,5.72275,6.0449,7.5901,6.99333,7.22574,6.85084,..,..
Bhutan,BTN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,112.7385,107.47085,106.22304,104.80431,102.90592,101.26469,100.22383,..,106.63319
Bhutan,BTN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.01488,1.00978,1.01405,1.01085,1.00472,0.99865,1.00166,..,1.01541
Bhutan,BTN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,8424,8830,..,9398,9687,9574,7456,..,3252
Bolivia,BOL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,97.59756,95.94832,94.75959,94.9035,95.74906,96.87381,97.64904,..,..
Bolivia,BOL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98645,0.9787,0.97691,0.97968,0.98378,0.98696,0.99004,..,..
Bolivia,BOL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,148890,157794,160472,154801,140451,118356,95364,..,..
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: Education Statistics - All Indicators,,,,,,,,,,,,
Last Updated: 12/20/2020,,,,,,,,,,,,
